Index;Year;Release Date;Movie Title;Genre;Director;Producer;Writer;Other;Notes;IMDB Rating;IMDB Total Rating;Rotten Tomatoes;Google Rating;Budget($);Gross Worldwide($);Movie Time Length(Min);Oscar Nominations;Oscar Wins;Directed By;Produced By;Executive Producer;Music By;Cinematography By;Film Editor;Screenplay;Cast
1;1989;;Tarantella;Horror;Yes;Yes;Yes;No;Unreleased short film;5.3;749;;;;;4;;;Roko Belic, Christopher Nolan;;;;;;Roko Belic, Christopher Nolan;
2;1996;;Larceny;Crime;Yes;Yes;Yes;No;Unreleased short film;6.4;209;;;;;;;;Christopher Nolan;Christopher Nolan, Ivan Cornell ;Emma Thomas;David Julyan;Christopher Nolan;Christopher Nolan;Christopher Nolan;Jeremy Theobald,  Mark Deighton, Dave Savva 
3;1997;;Fearville;;No;No;No;Yes;Camera operator;;;;;;;;;;Steve Street;Steve Street;;Carl Greep;Christopher Nolan, Dave Savva;Nigel Karikari;Steve Street;Alexander McConnell, Andrew Porter, Samantha Wayne
4;1997;;Doodlebug;Mystery;Yes;Yes;Yes;Yes;"Editor and cinematographer
Short film";7.0;19062;;9.2;;;3;;;Christopher Nolan;"Emma Thomas, 
Christopher Nolan, 
Steve Street";;David Julyan;Christopher Nolan;Christopher Nolan;;Jeremy Theobald
5;1998;12-Sep-98;Following;Mystery;Yes;Yes;Yes;Yes;Editor and cinematographer;7.5;99675;8.2;8.2;6000;48482;69;0;0;Christopher Nolan;"Christopher Nolan, 
Jeremy Theobald, 
Emma Thomas";;David Julyan;Christopher Nolan;Gareth Heal, Christopher Nolan;;"Jeremy Theobald, 
Alex Haw, 
Lucy Russell, 
John Nolan"
6;1999;09-Jul-99;Genghis Blues;Documentary;No;No;No;Yes;Editorial assistance;7.9;1265;7.5;9.3;;;88;;;Roko Belic;"Roko Belic, 
Adrian Belic";;"Paul Pena, 
Kongar-ol Ondar";;"Roko Belic, Christopher Nolan
Adrian Belic, ";;Paul Pena
7;2000;16-Mar-01;Memento;Mystery;Yes;No;Yes;No;;8.4;1099640;9.3;9;9000000;39723096;113;2;0;Christopher Nolan;"Suzanne Todd, 
Jennifer Todd";;David Julyan;Wally Pfister;Dody Dorn;Christopher Nolan;"Guy Pearce, 
Carrie-Anne Moss, 
Joe Pantoliano"
8;2002;24-May-02;Insomnia;Mystery;Yes;No;No;No;;7.2;269577;9.2;9;46000000;113758770;118;0;0;Christopher Nolan;"Paul Junger Witt, 
Edward L. McDonnell, 
Broderick Johnson, 
Andrew A. Kosove";;David Julyan;Wally Pfister;Dody Dorn;Hillary Seitz;"Al Pacino, 
Robin Williams, 
Hilary Swank, 
Maura Tierney, 
Martin Donovan, 
Nicky Katt, 
Paul Dooley"
9;2005;15-Jun-05;Batman Begins;Crime;Yes;No;Yes;No;Screenplay co-written with David S. Goyer;8.2;1278922;8.4;8.9;150000000;373413297;140;1;0;Christopher Nolan;"Charles Roven, 
Emma Thomas, 
Larry Franco";;Hans Zimmer, James Newton Howard;Wally Pfister;Lee Smith;"Christopher Nolan, 
David S. Goyer";"Christian Bale, 
Michael Caine, 
Liam Neeson, 
Katie Holmes, 
Gary Oldman, 
Cillian Murphy, 
Tom Wilkinson, 
Rutger Hauer, 
Ken Watanabe, 
Morgan Freeman"
10;2006;20-Oct-06;The Prestige;Mystery;Yes;Yes;Yes;No;Co-written with Jonathan Nolan;8.5;1156631;7.6;8.9;40000000;109676311;130;2;0;Christopher Nolan;"Emma Thomas, 
Aaron Ryder, 
Christopher Nolan";;David Julyan;Wally Pfister;Lee Smith;"Jonathan Nolan, 
Christopher Nolan";"Hugh Jackman, 
Christian Bale, 
Michael Caine, 
Scarlett Johansson, 
Rebecca Hall, 
Andy Serkis, 
David Bowie"
11;2008;18-Jul-08;The Dark Knight;Crime;Yes;Yes;Yes;No;"Story co-written with David S. Goyer
Screenplay co-written with Jonathan Nolan";9;2243177;9.4;9.5;185000000;1004934033;152;6;2;Christopher Nolan;"Emma Thomas, 
Charles Roven, 
Christopher Nolan";;Hans Zimmer, James Newton Howard;Wally Pfister;Lee Smith;"Jonathan Nolan,
Christopher Nolan";"Christian Bale, 
Michael Caine, 
Heath Ledger, 
Gary Oldman, 
Aaron Eckhart, 
Maggie Gyllenhaal, 
Morgan Freeman"
